user_id,drink_id,weather,temperature,time_period,hour,dayofweek,occasion,context_hash,interaction_type,value
U103,D052,sunny,21.6,afternoon,17,3,recovery,sunny_22_afternoon_recovery,view,0.0
U072,D061,sunny,21.0,morning,10,2,recovery,sunny_21_morning_recovery,view,0.0
U467,D087,stormy,18.3,morning,8,5,casual,stormy_18_morning_casual,view,0.0
U373,D100,stormy,16.3,morning,11,5,pairing,stormy_16_morning_pairing,view,0.0
U150,D053,rainy,7.0,afternoon,16,2,social,rainy_7_afternoon_social,view,0.0
U414,D038,rainy,7.0,afternoon,16,2,social,rainy_7_afternoon_social,view,0.0
U277,D033,snowy,-3.2,morning,9,1,business,snowy_-3_morning_business,view,0.0
U253,D108,cloudy,10.4,afternoon,12,0,recovery,cloudy_10_afternoon_recovery,view,0.0
U059,D042,cloudy,11.9,morning,7,1,social,cloudy_12_morning_social,rate,1.9
U446,D047,sunny,26.0,afternoon,12,1,casual,sunny_26_afternoon_casual,view,0.0
U320,D003,rainy,11.5,morning,10,0,casual,rainy_12_morning_casual,view,0.0
U021,D073,snowy,-4.2,evening,22,6,business,snowy_-4_evening_business,view,0.0
U089,D060,rainy,10.1,morning,9,5,business,rainy_10_morning_business,view,0.0
U265,D090,rainy,7.0,afternoon,16,2,social,rainy_7_afternoon_social,view,0.0
U367,D060,cloudy,14.6,morning,8,4,pairing,cloudy_15_morning_pairing,view,0.0
U264,D047,snowy,-2.5,morning,7,2,casual,snowy_-2_morning_casual,rate,2.0
U360,D004,rainy,7.0,afternoon,16,2,social,rainy_7_afternoon_social,view,0.0
U054,D106,rainy,14.4,morning,11,1,recovery,rainy_14_morning_recovery,view,0.0
U191,D018,stormy,15.1,morning,10,6,social,stormy_15_morning_social,view,0.0
U202,D062,stormy,12.8,evening,22,2,casual,stormy_13_evening_casual,view,0.0
U304,D015,stormy,14.5,evening,23,3,casual,stormy_15_evening_casual,view,0.0
U252,D062,stormy,16.3,morning,11,5,pairing,stormy_16_morning_pairing,view,0.0
U237,D082,snowy,0.3,morning,7,0,business,snowy_0_morning_business,view,0.0
U410,D089,cloudy,14.1,evening,23,6,business,cloudy_14_evening_business,view,0.0
U015,D045,snowy,4.5,afternoon,16,4,social,snowy_5_afternoon_social,view,0.0
U009,D088,snowy,4.5,afternoon,16,4,social,snowy_5_afternoon_social,view,0.0
U472,D063,stormy,18.3,morning,8,5,casual,stormy_18_morning_casual,view,0.0
U392,D035,snowy,-2.5,morning,7,2,casual,snowy_-2_morning_casual,view,0.0
U261,D106,snowy,-4.2,evening,22,6,business,snowy_-4_evening_business,view,0.0
U028,D007,snowy,0.6,afternoon,14,1,social,snowy_1_afternoon_social,view,0.0
U418,D033,snowy,0.6,afternoon,14,0,pairing,snowy_1_afternoon_pairing,view,0.0
U062,D088,rainy,11.5,morning,10,0,casual,rainy_12_morning_casual,view,0.0
U360,D086,cloudy,12.4,evening,18,6,pairing,cloudy_12_evening_pairing,view,0.0
U227,D101,snowy,0.3,morning,7,0,business,snowy_0_morning_business,view,0.0
U257,D005,stormy,15.1,morning,10,6,social,stormy_15_morning_social,view,0.0
U398,D103,cloudy,12.4,evening,18,6,pairing,cloudy_12_evening_pairing,view,0.0
U015,D090,snowy,-1.7,morning,9,2,celebration,snowy_-2_morning_celebration,view,0.0
U179,D063,cloudy,15.0,morning,10,0,pairing,cloudy_15_morning_pairing,view,0.0
U052,D096,rainy,14.4,morning,11,1,recovery,rainy_14_morning_recovery,rate,2.0
U237,D015,cloudy,19.7,afternoon,12,3,casual,cloudy_20_afternoon_casual,view,0.0
U013,D032,cloudy,14.6,morning,8,4,pairing,cloudy_15_morning_pairing,view,0.0
U086,D028,rainy,7.0,afternoon,16,2,social,rainy_7_afternoon_social,view,0.0
U062,D057,cloudy,17.3,afternoon,15,3,recovery,cloudy_17_afternoon_recovery,view,0.0
U108,D044,sunny,33.7,afternoon,14,3,celebration,sunny_34_afternoon_celebration,view,0.0
U331,D119,cloudy,11.9,morning,7,1,social,cloudy_12_morning_social,view,0.0
U190,D097,snowy,4.5,afternoon,16,4,social,snowy_5_afternoon_social,view,0.0
U446,D116,rainy,12.4,evening,23,1,recovery,rainy_12_evening_recovery,view,0.0
U359,D070,stormy,14.5,evening,23,3,casual,stormy_15_evening_casual,view,0.0
U318,D037,rainy,9.4,evening,20,2,business,rainy_9_evening_business,view,0.0
U172,D024,snowy,-4.5,afternoon,13,4,social,snowy_-5_afternoon_social,view,0.0
U160,D096,sunny,30.7,afternoon,15,3,social,sunny_31_afternoon_social,view,0.0
U113,D062,cloudy,18.7,morning,8,3,business,cloudy_19_morning_business,view,0.0
U268,D039,rainy,7.0,afternoon,16,2,social,rainy_7_afternoon_social,view,0.0
U101,D113,stormy,10.7,afternoon,12,0,casual,stormy_11_afternoon_casual,view,0.0
U002,D002,cloudy,11.9,morning,7,1,social,cloudy_12_morning_social,view,0.0
U485,D096,rainy,9.4,evening,20,2,business,rainy_9_evening_business,view,0.0
U126,D002,sunny,26.0,afternoon,12,1,casual,sunny_26_afternoon_casual,view,0.0
U198,D032,rainy,14.4,morning,11,1,recovery,rainy_14_morning_recovery,view,0.0
U184,D017,cloudy,18.2,afternoon,17,1,business,cloudy_18_afternoon_business,view,0.0
