# Synthetic customer segmentation dataset
# Generated for data science portfolio apps
# Columns: customer_id, age, income, spending_score, visit_frequency, avg_order_value, tenure_months, location_type, engagement_score
customer_id,age,income,spending_score,visit_frequency,avg_order_value,tenure_months,location_type,engagement_score
C001,28,75000,85,12,125.50,24,urban,72
C002,45,95000,60,6,95.00,36,suburban,58
C003,22,35000,90,18,45.00,12,urban,85
C004,52,120000,45,4,250.00,48,rural,42
C005,31,68000,75,10,110.00,30,urban,68
C006,38,85000,55,7,180.00,42,suburban,55
C007,25,42000,88,20,38.00,18,urban,78
C008,48,110000,50,5,220.00,54,rural,48
C009,29,72000,82,14,98.00,27,suburban,71
C010,42,88000,58,8,165.00,39,suburban,62
C011,24,38000,92,22,42.00,15,urban,82
C012,55,135000,40,3,280.00,60,rural,38
C013,33,78000,78,11,115.00,33,suburban,70
C014,40,92000,52,6,195.00,45,urban,52
C015,27,55000,86,16,58.00,21,suburban,75
C016,49,105000,48,4,240.00,51,suburban,45
C017,23,40000,94,25,35.00,9,urban,88
C018,51,115000,46,5,260.00,57,rural,44
C019,35,82000,72,9,130.00,36,urban,65
C020,44,98000,54,7,175.00,42,suburban,56
C021,26,58000,84,15,62.00,24,urban,73
C022,47,108000,49,5,230.00,48,rural,47
C023,30,70000,80,13,105.00,30,suburban,69
C024,53,125000,42,3,270.00,54,rural,40
C025,36,86000,68,8,145.00,39,urban,60
C026,41,94000,56,6,185.00,45,suburban,54
C027,25,45000,90,19,48.00,18,urban,80
C028,50,118000,44,4,255.00,57,rural,42
C029,32,76000,76,12,118.00,33,suburban,68
C030,43,90000,59,7,170.00,42,suburban,59
C031,28,65000,83,14,92.00,27,urban,72
C032,46,102000,51,5,215.00,48,suburban,50
C033,24,41000,91,21,44.00,15,urban,83
C034,54,128000,41,3,275.00,60,rural,39
C035,34,80000,74,10,125.00,36,suburban,66
C036,39,91000,57,7,180.00,42,urban,57
C037,27,52000,87,17,55.00,21,suburban,76
C038,48,112000,47,4,245.00,51,rural,46
C039,37,84000,70,9,135.00,39,urban,63
C040,45,96000,53,6,190.00,45,suburban,53
C041,26,48000,89,18,52.00,21,urban,79
C042,52,122000,43,3,265.00,54,rural,41
C043,31,73000,79,12,108.00,30,suburban,70
C044,42,93000,55,7,172.00,42,suburban,55
C045,29,62000,85,15,78.00,27,urban,74
C046,47,106000,50,5,225.00,48,suburban,49
C047,23,39000,93,23,40.00,12,urban,86
C048,55,130000,40,3,285.00,60,rural,38
C049,33,79000,77,11,122.00,33,suburban,69
C050,40,89000,58,7,178.00,42,urban,58
