id,title,style,color_family,season,price_band,base_price,description
w01,Outfit 1,minimalist,dark,spring,premium,269,Versatile piece that works for multiple occasions
w02,Outfit 2,bohemian,bright,fall,premium,67,Premium quality materials and craftsmanship
w03,Outfit 3,bohemian,dark,winter,premium,56,Elegant choice for special occasions
w04,Outfit 4,vintage,dark,summer,mid-range,50,Trendy outfit combining classic and contemporary elements
w05,Outfit 5,bohemian,neutral,winter,mid-range,207,Trendy outfit combining classic and contemporary elements
w06,Outfit 6,smart-casual,neutral,fall,premium,169,Premium quality materials and craftsmanship
w07,Outfit 7,sporty,dark,winter,premium,186,Budget-friendly option without compromising style
w08,Outfit 8,edgy,pastel,winter,premium,344,Perfect for everyday wear with modern appeal
w09,Outfit 9,formal,earth,fall,premium,101,Budget-friendly option without compromising style
w10,Outfit 10,casual,dark,spring,mid-range,292,Perfect for everyday wear with modern appeal
w11,Outfit 11,casual,earth,summer,premium,254,Trendy outfit combining classic and contemporary elements
w12,Outfit 12,bohemian,pastel,summer,budget,127,Premium quality materials and craftsmanship
w13,Outfit 13,sporty,bright,summer,mid-range,112,Trendy outfit combining classic and contemporary elements
w14,Outfit 14,edgy,earth,fall,mid-range,282,Elegant choice for special occasions
w15,Outfit 15,casual,dark,summer,premium,326,Premium quality materials and craftsmanship
w16,Outfit 16,edgy,dark,spring,mid-range,147,Premium quality materials and craftsmanship
w17,Outfit 17,bohemian,bright,fall,budget,226,Perfect for everyday wear with modern appeal
w18,Outfit 18,sporty,dark,winter,budget,92,Budget-friendly option without compromising style
w19,Outfit 19,bohemian,neutral,spring,premium,177,Perfect for everyday wear with modern appeal
w20,Outfit 20,sporty,pastel,fall,budget,263,Comfortable and stylish for any season
