user_id,skill_sequence,reward,state,action,next_state,done
0,[np.int64(16)],24.388954878874742,,16,16,False
0,"[np.int64(16), np.int64(136)]",45.54510158331833,16,136,16_136,False
0,"[np.int64(16), np.int64(136), np.int64(83)]",28.720737395036473,16_136,83,16_136_83,False
0,"[np.int64(16), np.int64(136), np.int64(83), np.int64(44)]",14.884148151799625,16_136_83,44,16_136_83_44,False
0,"[np.int64(16), np.int64(136), np.int64(83), np.int64(44), np.int64(65)]",45.82107062798407,16_136_83_44,65,16_136_83_44_65,False
0,"[np.int64(16), np.int64(136), np.int64(83), np.int64(44), np.int64(65), np.int64(31)]",37.09297900326766,16_136_83_44_65,31,16_136_83_44_65_31,False
0,"[np.int64(16), np.int64(136), np.int64(83), np.int64(44), np.int64(65), np.int64(31), np.int64(44)]",2.0005352667648557,16_136_83_44_65_31,44,16_136_83_44_65_31_44,False
0,"[np.int64(16), np.int64(136), np.int64(83), np.int64(44), np.int64(65), np.int64(31), np.int64(44), np.int64(8)]",-2.149458319070814,16_136_83_44_65_31_44,8,16_136_83_44_65_31_44_8,False
0,"[np.int64(16), np.int64(136), np.int64(83), np.int64(44), np.int64(65), np.int64(31), np.int64(44), np.int64(8), np.int64(29)]",30.54869814456398,16_136_83_44_65_31_44_8,29,16_136_83_44_65_31_44_8_29,False
0,"[np.int64(16), np.int64(136), np.int64(83), np.int64(44), np.int64(65), np.int64(31), np.int64(44), np.int64(8), np.int64(29), np.int64(83)]",23.592989934619027,16_136_83_44_65_31_44_8_29,83,16_136_83_44_65_31_44_8_29_83,True
1,[np.int64(134)],47.426425760003085,,134,134,False
1,"[np.int64(134), np.int64(140)]",31.807730837860476,134,140,134_140,False
1,"[np.int64(134), np.int64(140), np.int64(195)]",25.761809656988067,134_140,195,134_140_195,False
1,"[np.int64(134), np.int64(140), np.int64(195), np.int64(42)]",17.623170540502436,134_140_195,42,134_140_195_42,False
1,"[np.int64(134), np.int64(140), np.int64(195), np.int64(42), np.int64(56)]",11.864591959724196,134_140_195_42,56,134_140_195_42_56,False
1,"[np.int64(134), np.int64(140), np.int64(195), np.int64(42), np.int64(56), np.int64(163)]",11.180285058310176,134_140_195_42_56,163,134_140_195_42_56_163,False
1,"[np.int64(134), np.int64(140), np.int64(195), np.int64(42), np.int64(56), np.int64(163), np.int64(141)]",28.182362342575434,134_140_195_42_56_163,141,134_140_195_42_56_163_141,False
1,"[np.int64(134), np.int64(140), np.int64(195), np.int64(42), np.int64(56), np.int64(163), np.int64(141), np.int64(71)]",35.07638701626475,134_140_195_42_56_163_141,71,134_140_195_42_56_163_141_71,False
1,"[np.int64(134), np.int64(140), np.int64(195), np.int64(42), np.int64(56), np.int64(163), np.int64(141), np.int64(71), np.int64(26)]",30.711024169064864,134_140_195_42_56_163_141_71,26,134_140_195_42_56_163_141_71_26,False
1,"[np.int64(134), np.int64(140), np.int64(195), np.int64(42), np.int64(56), np.int64(163), np.int64(141), np.int64(71), np.int64(26), np.int64(127)]",1.9046060716137636,134_140_195_42_56_163_141_71_26,127,134_140_195_42_56_163_141_71_26_127,True
2,[np.int64(146)],14.560695252943557,,146,146,False
2,"[np.int64(146), np.int64(156)]",43.72476267165314,146,156,146_156,False
2,"[np.int64(146), np.int64(156), np.int64(115)]",-0.2459758801912848,146_156,115,146_156_115,False
2,"[np.int64(146), np.int64(156), np.int64(115), np.int64(178)]",49.730986915419486,146_156_115,178,146_156_115_178,False
2,"[np.int64(146), np.int64(156), np.int64(115), np.int64(178), np.int64(17)]",-2.868845291425768,146_156_115_178,17,146_156_115_178_17,False
2,"[np.int64(146), np.int64(156), np.int64(115), np.int64(178), np.int64(17), np.int64(185)]",-9.103001733745666,146_156_115_178_17,185,146_156_115_178_17_185,False
2,"[np.int64(146), np.int64(156), np.int64(115), np.int64(178), np.int64(17), np.int64(185), np.int64(171)]",43.401134068925884,146_156_115_178_17_185,171,146_156_115_178_17_185_171,False
2,"[np.int64(146), np.int64(156), np.int64(115), np.int64(178), np.int64(17), np.int64(185), np.int64(171), np.int64(15)]",4.697210501957365,146_156_115_178_17_185_171,15,146_156_115_178_17_185_171_15,False
2,"[np.int64(146), np.int64(156), np.int64(115), np.int64(178), np.int64(17), np.int64(185), np.int64(171), np.int64(15), np.int64(192)]",33.781977646803256,146_156_115_178_17_185_171_15,192,146_156_115_178_17_185_171_15_192,False
2,"[np.int64(146), np.int64(156), np.int64(115), np.int64(178), np.int64(17), np.int64(185), np.int64(171), np.int64(15), np.int64(192), np.int64(129)]",38.66092249592416,146_156_115_178_17_185_171_15_192,129,146_156_115_178_17_185_171_15_192_129,True
3,[np.int64(50)],38.91238265393899,,50,50,False
3,"[np.int64(50), np.int64(78)]",-4.916279002580925,50,78,50_78,False
3,"[np.int64(50), np.int64(78), np.int64(185)]",27.37837326128574,50_78,185,50_78_185,False
3,"[np.int64(50), np.int64(78), np.int64(185), np.int64(173)]",-9.592866821390345,50_78_185,173,50_78_185_173,False
3,"[np.int64(50), np.int64(78), np.int64(185), np.int64(173), np.int64(179)]",-7.392625221929762,50_78_185_173,179,50_78_185_173_179,False
3,"[np.int64(50), np.int64(78), np.int64(185), np.int64(173), np.int64(179), np.int64(105)]",44.23880054335045,50_78_185_173_179,105,50_78_185_173_179_105,False
3,"[np.int64(50), np.int64(78), np.int64(185), np.int64(173), np.int64(179), np.int64(105), np.int64(62)]",21.653823281408332,50_78_185_173_179_105,62,50_78_185_173_179_105_62,False
3,"[np.int64(50), np.int64(78), np.int64(185), np.int64(173), np.int64(179), np.int64(105), np.int64(62), np.int64(75)]",34.15411915211149,50_78_185_173_179_105_62,75,50_78_185_173_179_105_62_75,False
3,"[np.int64(50), np.int64(78), np.int64(185), np.int64(173), np.int64(179), np.int64(105), np.int64(62), np.int64(75), np.int64(59)]",40.31005942658876,50_78_185_173_179_105_62_75,59,50_78_185_173_179_105_62_75_59,False
3,"[np.int64(50), np.int64(78), np.int64(185), np.int64(173), np.int64(179), np.int64(105), np.int64(62), np.int64(75), np.int64(59), np.int64(64)]",46.975206053875105,50_78_185_173_179_105_62_75_59,64,50_78_185_173_179_105_62_75_59_64,True
4,[np.int64(148)],23.5744905173524,,148,148,False
4,"[np.int64(148), np.int64(141)]",29.930564525432807,148,141,148_141,False
4,"[np.int64(148), np.int64(141), np.int64(129)]",48.69952858670285,148_141,129,148_141_129,False
4,"[np.int64(148), np.int64(141), np.int64(129), np.int64(199)]",33.70317116604395,148_141_129,199,148_141_129_199,False
4,"[np.int64(148), np.int64(141), np.int64(129), np.int64(199), np.int64(126)]",28.6249119465754,148_141_129_199,126,148_141_129_199_126,False
4,"[np.int64(148), np.int64(141), np.int64(129), np.int64(199), np.int64(126), np.int64(108)]",10.105546056100554,148_141_129_199_126,108,148_141_129_199_126_108,False
4,"[np.int64(148), np.int64(141), np.int64(129), np.int64(199), np.int64(126), np.int64(108), np.int64(118)]",-7.929767410100441,148_141_129_199_126_108,118,148_141_129_199_126_108_118,False
4,"[np.int64(148), np.int64(141), np.int64(129), np.int64(199), np.int64(126), np.int64(108), np.int64(118), np.int64(197)]",7.287507731281506,148_141_129_199_126_108_118,197,148_141_129_199_126_108_118_197,False
4,"[np.int64(148), np.int64(141), np.int64(129), np.int64(199), np.int64(126), np.int64(108), np.int64(118), np.int64(197), np.int64(100)]",36.106874027577064,148_141_129_199_126_108_118_197,100,148_141_129_199_126_108_118_197_100,False
4,"[np.int64(148), np.int64(141), np.int64(129), np.int64(199), np.int64(126), np.int64(108), np.int64(118), np.int64(197), np.int64(100), np.int64(160)]",2.316316448228104,148_141_129_199_126_108_118_197_100,160,148_141_129_199_126_108_118_197_100_160,True
5,[np.int64(56)],24.474470208381025,,56,56,False
5,"[np.int64(56), np.int64(82)]",39.33648268837551,56,82,56_82,False
5,"[np.int64(56), np.int64(82), np.int64(165)]",23.76017244105852,56_82,165,56_82_165,False
5,"[np.int64(56), np.int64(82), np.int64(165), np.int64(31)]",47.86335539943561,56_82_165,31,56_82_165_31,False
5,"[np.int64(56), np.int64(82), np.int64(165), np.int64(31), np.int64(193)]",3.0334459490648857,56_82_165_31,193,56_82_165_31_193,False
5,"[np.int64(56), np.int64(82), np.int64(165), np.int64(31), np.int64(193), np.int64(24)]",32.84791961612916,56_82_165_31_193,24,56_82_165_31_193_24,False
5,"[np.int64(56), np.int64(82), np.int64(165), np.int64(31), np.int64(193), np.int64(24), np.int64(185)]",12.196647923268078,56_82_165_31_193_24,185,56_82_165_31_193_24_185,False
5,"[np.int64(56), np.int64(82), np.int64(165), np.int64(31), np.int64(193), np.int64(24), np.int64(185), np.int64(32)]",6.737971665211633,56_82_165_31_193_24_185,32,56_82_165_31_193_24_185_32,False
5,"[np.int64(56), np.int64(82), np.int64(165), np.int64(31), np.int64(193), np.int64(24), np.int64(185), np.int64(32), np.int64(87)]",0.8232485580627724,56_82_165_31_193_24_185_32,87,56_82_165_31_193_24_185_32_87,False
5,"[np.int64(56), np.int64(82), np.int64(165), np.int64(31), np.int64(193), np.int64(24), np.int64(185), np.int64(32), np.int64(87), np.int64(193)]",23.15020857569263,56_82_165_31_193_24_185_32_87,193,56_82_165_31_193_24_185_32_87_193,True
6,[np.int64(47)],-3.9855177839445166,,47,47,False
6,"[np.int64(47), np.int64(60)]",33.06563268897385,47,60,47_60,False
6,"[np.int64(47), np.int64(60), np.int64(139)]",30.789087513198197,47_60,139,47_60_139,False
6,"[np.int64(47), np.int64(60), np.int64(139), np.int64(77)]",39.855349449311035,47_60_139,77,47_60_139_77,False
6,"[np.int64(47), np.int64(60), np.int64(139), np.int64(77), np.int64(183)]",-7.50424262461183,47_60_139_77,183,47_60_139_77_183,False
6,"[np.int64(47), np.int64(60), np.int64(139), np.int64(77), np.int64(183), np.int64(17)]",-8.613359891932468,47_60_139_77_183,17,47_60_139_77_183_17,False
6,"[np.int64(47), np.int64(60), np.int64(139), np.int64(77), np.int64(183), np.int64(17), np.int64(154)]",12.380425992713644,47_60_139_77_183_17,154,47_60_139_77_183_17_154,False
6,"[np.int64(47), np.int64(60), np.int64(139), np.int64(77), np.int64(183), np.int64(17), np.int64(154), np.int64(27)]",-1.0727029690508272,47_60_139_77_183_17_154,27,47_60_139_77_183_17_154_27,False
6,"[np.int64(47), np.int64(60), np.int64(139), np.int64(77), np.int64(183), np.int64(17), np.int64(154), np.int64(27), np.int64(79)]",23.503068654213315,47_60_139_77_183_17_154_27,79,47_60_139_77_183_17_154_27_79,False
6,"[np.int64(47), np.int64(60), np.int64(139), np.int64(77), np.int64(183), np.int64(17), np.int64(154), np.int64(27), np.int64(79), np.int64(179)]",45.04093409040493,47_60_139_77_183_17_154_27_79,179,47_60_139_77_183_17_154_27_79_179,True
7,[np.int64(194)],-2.3426088257348043,,194,194,False
7,"[np.int64(194), np.int64(56)]",35.25387940097292,194,56,194_56,False
7,"[np.int64(194), np.int64(56), np.int64(53)]",18.292407595289916,194_56,53,194_56_53,False
7,"[np.int64(194), np.int64(56), np.int64(53), np.int64(115)]",-1.0097119487219142,194_56_53,115,194_56_53_115,False
7,"[np.int64(194), np.int64(56), np.int64(53), np.int64(115), np.int64(143)]",5.837651247912259,194_56_53_115,143,194_56_53_115_143,False
7,"[np.int64(194), np.int64(56), np.int64(53), np.int64(115), np.int64(143), np.int64(61)]",46.870213990819984,194_56_53_115_143,61,194_56_53_115_143_61,False
7,"[np.int64(194), np.int64(56), np.int64(53), np.int64(115), np.int64(143), np.int64(61), np.int64(83)]",12.027970118615904,194_56_53_115_143_61,83,194_56_53_115_143_61_83,False
7,"[np.int64(194), np.int64(56), np.int64(53), np.int64(115), np.int64(143), np.int64(61), np.int64(83), np.int64(55)]",44.46091671314921,194_56_53_115_143_61_83,55,194_56_53_115_143_61_83_55,False
7,"[np.int64(194), np.int64(56), np.int64(53), np.int64(115), np.int64(143), np.int64(61), np.int64(83), np.int64(55), np.int64(22)]",8.278149937614604,194_56_53_115_143_61_83_55,22,194_56_53_115_143_61_83_55_22,False
7,"[np.int64(194), np.int64(56), np.int64(53), np.int64(115), np.int64(143), np.int64(61), np.int64(83), np.int64(55), np.int64(22), np.int64(16)]",22.593205662029654,194_56_53_115_143_61_83_55_22,16,194_56_53_115_143_61_83_55_22_16,True
8,[np.int64(112)],31.21316470290539,,112,112,False
8,"[np.int64(112), np.int64(167)]",36.58419932132619,112,167,112_167,False
8,"[np.int64(112), np.int64(167), np.int64(96)]",8.68035457576499,112_167,96,112_167_96,False
8,"[np.int64(112), np.int64(167), np.int64(96), np.int64(184)]",24.066617385912693,112_167_96,184,112_167_96_184,False
8,"[np.int64(112), np.int64(167), np.int64(96), np.int64(184), np.int64(185)]",48.89474178587567,112_167_96_184,185,112_167_96_184_185,False
8,"[np.int64(112), np.int64(167), np.int64(96), np.int64(184), np.int64(185), np.int64(90)]",43.88865023990943,112_167_96_184_185,90,112_167_96_184_185_90,False
8,"[np.int64(112), np.int64(167), np.int64(96), np.int64(184), np.int64(185), np.int64(90), np.int64(15)]",47.15992568590199,112_167_96_184_185_90,15,112_167_96_184_185_90_15,False
8,"[np.int64(112), np.int64(167), np.int64(96), np.int64(184), np.int64(185), np.int64(90), np.int64(15), np.int64(155)]",13.168183911714284,112_167_96_184_185_90_15,155,112_167_96_184_185_90_15_155,False
8,"[np.int64(112), np.int64(167), np.int64(96), np.int64(184), np.int64(185), np.int64(90), np.int64(15), np.int64(155), np.int64(97)]",37.215686353799704,112_167_96_184_185_90_15_155,97,112_167_96_184_185_90_15_155_97,False
8,"[np.int64(112), np.int64(167), np.int64(96), np.int64(184), np.int64(185), np.int64(90), np.int64(15), np.int64(155), np.int64(97), np.int64(110)]",27.193877105620867,112_167_96_184_185_90_15_155_97,110,112_167_96_184_185_90_15_155_97_110,True
9,[np.int64(79)],29.68028683017276,,79,79,False
9,"[np.int64(79), np.int64(38)]",7.3611446133347735,79,38,79_38,False
9,"[np.int64(79), np.int64(38), np.int64(44)]",5.210060966346388,79_38,44,79_38_44,False
9,"[np.int64(79), np.int64(38), np.int64(44), np.int64(77)]",9.853225261627657,79_38_44,77,79_38_44_77,False
9,"[np.int64(79), np.int64(38), np.int64(44), np.int64(77), np.int64(80)]",6.18776347354185,79_38_44_77,80,79_38_44_77_80,False
9,"[np.int64(79), np.int64(38), np.int64(44), np.int64(77), np.int64(80), np.int64(139)]",20.686184378095234,79_38_44_77_80,139,79_38_44_77_80_139,False
9,"[np.int64(79), np.int64(38), np.int64(44), np.int64(77), np.int64(80), np.int64(139), np.int64(92)]",16.40890683344795,79_38_44_77_80_139,92,79_38_44_77_80_139_92,False
9,"[np.int64(79), np.int64(38), np.int64(44), np.int64(77), np.int64(80), np.int64(139), np.int64(92), np.int64(31)]",20.74571308259938,79_38_44_77_80_139_92,31,79_38_44_77_80_139_92_31,False
9,"[np.int64(79), np.int64(38), np.int64(44), np.int64(77), np.int64(80), np.int64(139), np.int64(92), np.int64(31), np.int64(183)]",30.362816690026172,79_38_44_77_80_139_92_31,183,79_38_44_77_80_139_92_31_183,False
9,"[np.int64(79), np.int64(38), np.int64(44), np.int64(77), np.int64(80), np.int64(139), np.int64(92), np.int64(31), np.int64(183), np.int64(23)]",13.227830538268899,79_38_44_77_80_139_92_31_183,23,79_38_44_77_80_139_92_31_183_23,True
10,[np.int64(83)],4.041690518412475,,83,83,False
10,"[np.int64(83), np.int64(105)]",25.28517475128186,83,105,83_105,False
10,"[np.int64(83), np.int64(105), np.int64(91)]",24.241379694610877,83_105,91,83_105_91,False
10,"[np.int64(83), np.int64(105), np.int64(91), np.int64(119)]",19.055971886583528,83_105_91,119,83_105_91_119,False
10,"[np.int64(83), np.int64(105), np.int64(91), np.int64(119), np.int64(74)]",22.99873918303185,83_105_91_119,74,83_105_91_119_74,False
10,"[np.int64(83), np.int64(105), np.int64(91), np.int64(119), np.int64(74), np.int64(121)]",19.507437957420084,83_105_91_119_74,121,83_105_91_119_74_121,False
10,"[np.int64(83), np.int64(105), np.int64(91), np.int64(119), np.int64(74), np.int64(121), np.int64(188)]",23.927381964446493,83_105_91_119_74_121,188,83_105_91_119_74_121_188,False
10,"[np.int64(83), np.int64(105), np.int64(91), np.int64(119), np.int64(74), np.int64(121), np.int64(188), np.int64(150)]",32.930357277267724,83_105_91_119_74_121_188,150,83_105_91_119_74_121_188_150,False
10,"[np.int64(83), np.int64(105), np.int64(91), np.int64(119), np.int64(74), np.int64(121), np.int64(188), np.int64(150), np.int64(164)]",-3.4223083357936157,83_105_91_119_74_121_188_150,164,83_105_91_119_74_121_188_150_164,False
10,"[np.int64(83), np.int64(105), np.int64(91), np.int64(119), np.int64(74), np.int64(121), np.int64(188), np.int64(150), np.int64(164), np.int64(40)]",34.97754512894142,83_105_91_119_74_121_188_150_164,40,83_105_91_119_74_121_188_150_164_40,True
11,[np.int64(68)],1.174696297986484,,68,68,False
11,"[np.int64(68), np.int64(113)]",19.120693828065086,68,113,68_113,False
11,"[np.int64(68), np.int64(113), np.int64(74)]",39.81063457997524,68_113,74,68_113_74,False
11,"[np.int64(68), np.int64(113), np.int64(74), np.int64(170)]",47.036706484573415,68_113_74,170,68_113_74_170,False
11,"[np.int64(68), np.int64(113), np.int64(74), np.int64(170), np.int64(58)]",28.05515920709224,68_113_74_170,58,68_113_74_170_58,False
11,"[np.int64(68), np.int64(113), np.int64(74), np.int64(170), np.int64(58), np.int64(129)]",11.234340032709023,68_113_74_170_58,129,68_113_74_170_58_129,False
11,"[np.int64(68), np.int64(113), np.int64(74), np.int64(170), np.int64(58), np.int64(129), np.int64(14)]",26.199533938675902,68_113_74_170_58_129,14,68_113_74_170_58_129_14,False
11,"[np.int64(68), np.int64(113), np.int64(74), np.int64(170), np.int64(58), np.int64(129), np.int64(14), np.int64(104)]",8.720078366507021,68_113_74_170_58_129_14,104,68_113_74_170_58_129_14_104,False
11,"[np.int64(68), np.int64(113), np.int64(74), np.int64(170), np.int64(58), np.int64(129), np.int64(14), np.int64(104), np.int64(164)]",44.58941844992362,68_113_74_170_58_129_14_104,164,68_113_74_170_58_129_14_104_164,False
11,"[np.int64(68), np.int64(113), np.int64(74), np.int64(170), np.int64(58), np.int64(129), np.int64(14), np.int64(104), np.int64(164), np.int64(198)]",42.22402778635022,68_113_74_170_58_129_14_104_164,198,68_113_74_170_58_129_14_104_164_198,True
12,[np.int64(175)],9.507975704015866,,175,175,False
12,"[np.int64(175), np.int64(162)]",18.266621299865232,175,162,175_162,False
12,"[np.int64(175), np.int64(162), np.int64(159)]",39.12427942727912,175_162,159,175_162_159,False
12,"[np.int64(175), np.int64(162), np.int64(159), np.int64(174)]",-2.523147537548729,175_162_159,174,175_162_159_174,False
12,"[np.int64(175), np.int64(162), np.int64(159), np.int64(174), np.int64(46)]",41.45935929450964,175_162_159_174,46,175_162_159_174_46,False
12,"[np.int64(175), np.int64(162), np.int64(159), np.int64(174), np.int64(46), np.int64(191)]",43.85053010650124,175_162_159_174_46,191,175_162_159_174_46_191,False
12,"[np.int64(175), np.int64(162), np.int64(159), np.int64(174), np.int64(46), np.int64(191), np.int64(173)]",46.80247490203329,175_162_159_174_46_191,173,175_162_159_174_46_191_173,False
12,"[np.int64(175), np.int64(162), np.int64(159), np.int64(174), np.int64(46), np.int64(191), np.int64(173), np.int64(102)]",13.849279545357668,175_162_159_174_46_191_173,102,175_162_159_174_46_191_173_102,False
