skill_id,skill_name,category,popularity_score,growth_rate,difficulty_score,learning_hours,average_salary,demand_trend
0,Deep Learning,ML/AI,0.8226005606596583,0.010952473192453072,0.507610378684455,409,192413,High
1,MLflow,DevOps,0.3601906414112629,-0.02475153611049548,0.24240973241508024,461,150327,Medium
2,Spark,Soft Skills,0.12706051265188478,0.08547936197599287,0.11483682473920354,174,191410,Medium
3,Docker,ML/AI,0.5222432600548044,0.04134089121042113,0.6106200424416326,191,71344,Low
4,NLP,Cloud,0.7699935530986108,0.13346244474034882,0.28863055324025577,478,192822,Medium
5,Airflow,Cloud,0.21582102749684318,-0.06890614521400606,0.5812382214226123,407,127957,Medium
6,Deep Learning,ML/AI,0.6228904758190003,0.2897579230664666,0.1543627152742023,232,165423,Medium
7,Communication,Soft Skills,0.085347464993768,0.29448429779184115,0.4811401018548175,320,118053,Low
8,GCP,ML/AI,0.0516817211686077,0.17926468560789807,0.5325894325515859,441,137454,High
9,Agile,Cloud,0.531354631568148,0.11443854653764816,0.05182353682242691,475,150600,Low
10,Docker,Data Engineering,0.5406351216101065,0.0238110465145311,0.3366042781939206,16,182732,Low
11,Docker,DevOps,0.6374299014982066,0.22551800788277948,0.13441467693897424,339,97641,High
12,Scrum,Cloud,0.7260913337226615,0.17389246902155173,0.06337497047276774,272,89711,Low
13,Airflow,ML/AI,0.9758520794625346,-0.03495322426204348,0.9899602323899452,170,130342,High
14,SQL,DevOps,0.5163003483011953,0.264370873797537,0.32235384497472297,160,166896,Low
15,NLP,ML/AI,0.32295647294124596,0.2290148971692676,0.8098744458546349,94,147833,High
16,Scrum,ML/AI,0.7951861947687037,0.2799199653167696,0.25464065476376385,156,116276,Medium
17,Data Science,Data Engineering,0.2708322512620742,0.190287803355344,0.6815027222239293,121,79541,Low
18,Git,DevOps,0.4389714207056361,0.14536607837431595,0.7602278598896866,390,154457,Low
19,Airflow,DevOps,0.07845638134226596,0.06729721451624755,0.5956387406078443,412,104813,Low
20,Machine Learning,Data Engineering,0.02535074341545751,0.2730913933416053,0.47157618855015837,45,199892,Low
21,Scrum,Cloud,0.9626484146779251,0.24642555580016334,0.41184091414726853,294,84070,Medium
22,Kubernetes,ML/AI,0.8359801205122058,-0.08191253195752424,0.3488682665429953,197,140559,Low
23,Cloud Computing,Soft Skills,0.695974206093698,-0.0894532102010992,0.9295291442478258,91,101786,Medium
24,Machine Learning,ML/AI,0.4089529444142699,0.05058534675121984,0.8306194077877291,11,197809,Medium
25,Airflow,ML/AI,0.17329432007084578,0.22422133231273317,0.9650269106665126,394,96062,Medium
26,Python,Cloud,0.15643704267108605,0.2949104517259778,0.12429722348554473,312,111571,Medium
27,Kubernetes,ML/AI,0.25024289816459533,-0.03983324355858873,0.7308674752036443,206,85510,High
28,Communication,Data Engineering,0.5492266647061205,0.13765228614085406,0.9383404568210378,413,79426,High
29,Git,Data Engineering,0.7145959227000623,0.052356342652408606,0.18123306616566015,20,97265,Low
30,Kubernetes,DevOps,0.6601973767177313,0.28796575912584127,0.0664962673667775,243,126150,High
31,Leadership,Soft Skills,0.27993389694594284,0.2368475692542835,0.741120649290059,395,147312,High
32,AWS,ML/AI,0.9548652806631941,0.23533148188445516,0.5744731131799119,204,149613,Low
33,Problem Solving,ML/AI,0.7378969166957685,0.08747726391798812,0.8418287767582721,480,134910,Low
34,Problem Solving,Cloud,0.5543540525114007,0.06592780093506607,0.1397723766262895,128,112375,Low
35,DevOps,Data Engineering,0.6117207462343522,0.009362828772282495,0.7952673118598902,405,181826,High
36,Hadoop,Soft Skills,0.4196000624277899,-0.07744980133962916,0.20162732004774453,29,95435,High
37,Spark,DevOps,0.24773098950115746,0.2458889505020213,0.1636559428657045,270,156443,Low
38,Spark,Data Engineering,0.3559726786512616,0.22516040365203105,0.16426579793099294,302,194055,Medium
39,GCP,DevOps,0.7578461104643691,0.29988706931445225,0.8145747202313821,431,83510,Low
40,Kubernetes,Cloud,0.014393488629755868,0.2986547348295622,0.6651972206962001,265,154071,Medium
41,Agile,Cloud,0.11607264050691624,0.12217268224105099,0.5230654247691193,231,66640,Medium
42,MLflow,ML/AI,0.04600264202175275,0.2075949660722042,0.3588304841235025,402,104547,Low
43,Leadership,Soft Skills,0.040728802318970136,0.27790629195297123,0.8772005408131083,235,114620,Low
44,Data Science,DevOps,0.8554605840110072,0.2398589562709646,0.3924451074226354,62,175608,Low
45,Big Data,Data Engineering,0.7036578593800237,-0.0010607593027209372,0.8165994394715771,437,67564,High
46,GCP,Cloud,0.4741738290873252,0.08021765412403742,0.4391349085702184,364,173824,Medium
47,Deep Learning,ML/AI,0.09783416065100148,-0.04833623393940201,0.3769444294249076,351,139273,High
48,Airflow,ML/AI,0.49161587511683236,0.28162041090348894,0.46267978566960644,373,134859,High
49,Computer Vision,DevOps,0.4734717707805657,0.142469853780352,0.3013778741641421,289,170017,Low
50,Deep Learning,Cloud,0.17320186991001518,-0.008542877798614913,0.7476093801762511,90,183618,High
51,Azure,Soft Skills,0.43385164923797304,0.1686802737623427,0.5027203900924792,211,185341,Low
52,SQL,Cloud,0.39850473439737344,0.14725129618315833,0.2322126951468173,167,89430,Medium
