user_id,skill_id,proficiency_level,experience_years,last_updated
31,140,2,12,2019-07-28 11:19:14.594672
43,86,3,18,2019-07-29 11:19:14.594672
17,57,5,9,2019-07-30 11:19:14.594672
5,49,3,4,2019-07-31 11:19:14.594672
17,29,1,6,2019-08-01 11:19:14.594672
18,189,3,15,2019-08-02 11:19:14.594672
21,100,2,0,2019-08-03 11:19:14.594672
36,24,1,11,2019-08-04 11:19:14.594672
31,111,4,1,2019-08-05 11:19:14.594672
40,154,5,6,2019-08-06 11:19:14.594672
2,178,5,10,2019-08-07 11:19:14.594672
27,184,3,12,2019-08-08 11:19:14.594672
9,125,1,1,2019-08-09 11:19:14.594672
34,122,4,6,2019-08-10 11:19:14.594672
28,46,1,14,2019-08-11 11:19:14.594672
14,117,5,10,2019-08-12 11:19:14.594672
32,38,1,1,2019-08-13 11:19:14.594672
6,15,4,6,2019-08-14 11:19:14.594672
11,21,3,3,2019-08-15 11:19:14.594672
48,53,2,10,2019-08-16 11:19:14.594672
29,148,1,1,2019-08-17 11:19:14.594672
20,199,2,15,2019-08-18 11:19:14.594672
30,15,5,6,2019-08-19 11:19:14.594672
23,58,3,12,2019-08-20 11:19:14.594672
19,30,3,4,2019-08-21 11:19:14.594672
36,169,1,16,2019-08-22 11:19:14.594672
3,31,3,11,2019-08-23 11:19:14.594672
27,186,1,18,2019-08-24 11:19:14.594672
43,161,1,6,2019-08-25 11:19:14.594672
19,8,2,5,2019-08-26 11:19:14.594672
23,138,3,7,2019-08-27 11:19:14.594672
49,9,1,12,2019-08-28 11:19:14.594672
48,16,2,4,2019-08-29 11:19:14.594672
31,67,4,1,2019-08-30 11:19:14.594672
40,47,2,8,2019-08-31 11:19:14.594672
35,179,2,10,2019-09-01 11:19:14.594672
33,110,1,5,2019-09-02 11:19:14.594672
35,152,5,6,2019-09-03 11:19:14.594672
1,122,5,6,2019-09-04 11:19:14.594672
14,148,5,18,2019-09-05 11:19:14.594672
33,100,2,5,2019-09-06 11:19:14.594672
35,101,1,10,2019-09-07 11:19:14.594672
5,64,3,10,2019-09-08 11:19:14.594672
38,190,2,6,2019-09-09 11:19:14.594672
41,50,2,1,2019-09-10 11:19:14.594672
11,35,1,18,2019-09-11 11:19:14.594672
2,80,4,3,2019-09-12 11:19:14.594672
44,126,2,5,2019-09-13 11:19:14.594672
17,87,4,16,2019-09-14 11:19:14.594672
39,193,4,4,2019-09-15 11:19:14.594672
20,103,5,6,2019-09-16 11:19:14.594672
14,14,1,8,2019-09-17 11:19:14.594672
32,95,4,0,2019-09-18 11:19:14.594672
34,166,1,0,2019-09-19 11:19:14.594672
25,122,5,18,2019-09-20 11:19:14.594672
7,197,1,5,2019-09-21 11:19:14.594672
35,0,2,17,2019-09-22 11:19:14.594672
47,150,4,9,2019-09-23 11:19:14.594672
29,121,1,10,2019-09-24 11:19:14.594672
22,166,3,0,2019-09-25 11:19:14.594672
41,125,1,0,2019-09-26 11:19:14.594672
43,56,4,12,2019-09-27 11:19:14.594672
13,80,5,4,2019-09-28 11:19:14.594672
13,161,5,19,2019-09-29 11:19:14.594672
1,168,4,0,2019-09-30 11:19:14.594672
36,72,2,19,2019-10-01 11:19:14.594672
4,140,2,2,2019-10-02 11:19:14.594672
37,69,5,17,2019-10-03 11:19:14.594672
44,5,5,8,2019-10-04 11:19:14.594672
40,83,4,13,2019-10-05 11:19:14.594672
46,51,2,16,2019-10-06 11:19:14.594672
13,2,5,13,2019-10-07 11:19:14.594672
