item_id,category,type,color,season,occasion,style_score,price,brand,seasonality_index
C001,Top,T-Shirt,Black,All,Business,7.5,29.99,FastBrand,1.0
C002,Top,Blouse,White,All,Business Formal,8.2,49.99,ElegantWear,1.0
C003,Top,Tank Top,Blue,Spring/Summer,Casual,6.8,19.99,BasicCo,1.2
C004,Top,Sweater,Gray,Fall/Winter,Casual,7.8,59.99,WarmStyle,1.5
C005,Bottom,Jeans,Blue,All,Casual,8.0,79.99,DenimCo,1.0
C006,Bottom,Trousers,Black,All,Business,8.5,89.99,Professional,1.0
C007,Bottom,Skirt,Black,All,Business Formal,7.9,69.99,ElegantWear,1.0
C008,Bottom,Shorts,Beige,Spring/Summer,Casual,6.5,39.99,SummerVibes,1.4
C009,Outerwear,Jacket,Black,All,Business,8.0,149.99,Professional,1.3
C010,Outerwear,Blazer,Navy,All,Business Formal,8.7,199.99,Executive,1.2
C011,Outerwear,Hoodie,Gray,All,Casual,7.2,54.99,CasualComfort,1.1
C012,Shoes,Loafers,Brown,All,Business,8.3,129.99,ClassicStep,1.0
C013,Shoes,Sneakers,White,All,Casual,7.5,99.99,ComfortWalk,1.0
C014,Shoes,Heels,Black,All,Business Formal,8.8,159.99,ElegantStep,1.0
C015,Shoes,Boots,Brown,Fall/Winter,Casual,7.9,139.99,ToughStep,1.4
C016,Accessory,Belt,Brown,All,Business,7.0,39.99,ClassicAcc,1.0
C017,Accessory,Scarf,Red,Fall/Winter,Casual,6.8,29.99,WarmStyle,1.5
C018,Accessory,Bag,Black,All,Business,8.2,189.99,LuxeCarry,1.0
C019,Accessory,Watch,Silver,All,Business Formal,9.0,299.99,TimeClassic,1.0
C020,Top,Dress Shirt,Light Blue,All,Business,8.1,59.99,Professional,1.0
C021,Top,Cardigan,Beige,Fall/Winter,Casual,7.4,44.99,WarmStyle,1.4
C022,Bottom,Chinos,Khaki,All,Casual,7.7,59.99,CasualComfort,1.0
C023,Bottom,Leggings,Black,All,Casual,6.9,34.99,ComfortFlex,1.0
C024,Outerwear,Trench Coat,Beige,All,Business,8.6,249.99,Executive,1.3
C025,Outerwear,Puffer Jacket,Black,Fall/Winter,Casual,7.6,179.99,WarmTech,1.6
